"IID","Pop","Color","Predicted_Ancestry","PC1","PC2","PC3","PC4"
"NA18524","CHB","goldenrod1","CHB",-0.00279517,0.0536938,0.00240707,-0.001402
"NA18526","CHB","goldenrod1","CHB",-0.00309424,0.0560918,0.00228048,-0.000264099
"NA18529","CHB","goldenrod1","CHB",-0.00319706,0.055971,0.000203653,0.00161651
"NA18532","CHB","goldenrod1","CHB",-0.00346466,0.056133,0.00140621,0.00263286
"NA18534","CHB","goldenrod1","CHB",-0.00356568,0.0560323,0.00212382,-7.17045e-05
"NA18536","CHB","goldenrod1","CHB",-0.00329995,0.0554705,0.000637227,-0.000753395
"NA18537","CHB","goldenrod1","CHB",-0.00275951,0.0556803,-0.000114596,-0.00236325
"NA18542","CHB","goldenrod1","CHB",-0.00334423,0.0553277,0.00127735,-0.00427327
"NA18543","CHB","goldenrod1","CHB",-0.00375635,0.0570851,0.00161975,0.0031635
"NA18544","CHB","goldenrod1","CHB",-0.00278629,0.0552575,0.00308329,-0.00176377
"NA18545","CHB","goldenrod1","CHB",-0.00342951,0.0562425,-5.66367e-05,-0.00135998
"NA18546","CHB","goldenrod1","CHB",-0.0030649,0.0566414,0.00103262,-0.00136039
"NA18548","CHB","goldenrod1","CHB",-0.00336382,0.0559042,0.00386857,0.000265706
"NA18550","CHB","goldenrod1","CHB",-0.00312567,0.0545079,0.00147256,0.00257026
"NA18552","CHB","goldenrod1","CHB",-0.00325221,0.0559909,0.00182103,-0.00130645
"NA18555","CHB","goldenrod1","CHB",-0.00345998,0.055011,0.00217003,0.000251653
"NA18557","CHB","goldenrod1","CHB",-0.00373558,0.0565017,0.000771908,-0.000708654
"NA18558","CHB","goldenrod1","CHB",-0.00318709,0.0548218,0.00397008,-0.00186936
"NA18559","CHB","goldenrod1","CHB",-0.00288198,0.0561321,0.00236609,4.6198e-05
"NA18561","CHB","goldenrod1","CHB",-0.00256965,0.0554192,0.00195881,0.00035717
"NA18562","CHB","goldenrod1","CHB",-0.00300981,0.0559998,0.00198092,-0.00190143
"NA18563","CHB","goldenrod1","CHB",-0.00287759,0.0559478,0.00109914,-0.00101074
"NA18564","CHB","goldenrod1","CHB",-0.0033992,0.0546557,0.00306079,-0.00281654
"NA18566","CHB","goldenrod1","CHB",-0.00297386,0.0553823,0.00143287,-0.00164324
"NA18570","CHB","goldenrod1","CHB",-0.00331884,0.0569062,0.000732228,-0.00216696
"NA18571","CHB","goldenrod1","CHB",-0.00365597,0.0553406,0.00191316,0.0010024
"NA18572","CHB","goldenrod1","CHB",-0.00423716,0.0577688,0.0023285,-5.29526e-05
"NA18573","CHB","goldenrod1","CHB",-0.00298987,0.0553823,0.00193124,0.0012695
"NA18576","CHB","goldenrod1","CHB",-0.00315393,0.0546712,0.00229893,-0.0032851
"NA18577","CHB","goldenrod1","CHB",-0.00339524,0.0564381,0.00177979,-0.00604381
"NA18579","CHB","goldenrod1","CHB",-0.0032465,0.055932,0.0017147,-0.00174946
"NA18582","CHB","goldenrod1","CHB",-0.00298873,0.056012,0.00176438,-0.000758507
"NA18592","CHB","goldenrod1","CHB",-0.00305472,0.0563676,0.000761446,-0.0029779
"NA18593","CHB","goldenrod1","CHB",-0.00332279,0.0566489,0.00387164,-0.00321298
"NA18594","CHB","goldenrod1","CHB",-0.00399524,0.0562892,0.00180813,-0.00397295
"NA18595","CHB","goldenrod1","CHB",-0.00276574,0.0563154,0.00252956,-0.0048603
"NA18596","CHB","goldenrod1","CHB",-0.0036511,0.0570457,0.000532435,-0.000948815
"NA18597","CHB","goldenrod1","CHB",-0.00245918,0.0548147,0.00332275,-0.000172397
"NA18599","CHB","goldenrod1","CHB",-0.003269,0.0555155,0.0023556,-0.000611131
"NA18602","CHB","goldenrod1","CHB",-0.00279906,0.0562528,0.000727274,0.000410295
"NA18603","CHB","goldenrod1","CHB",-0.0029329,0.056287,0.00454864,-0.00163162
